日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20250829,日本空調サービス,4658,サービス業,0.0033%,TOPIX Small 2
20250829,オリエンタルランド,4661,サービス業,0.4888%,TOPIX Large70
20250829,フォーカスシステムズ,4662,情報・通信業,0.0025%,TOPIX Small 2
20250829,ダスキン,4665,サービス業,0.0194%,TOPIX Mid400
20250829,パーク２４,4666,不動産業,0.0327%,TOPIX Mid400
20250829,明光ネットワークジャパン,4668,サービス業,0.0023%,TOPIX Small 2
20250829,ファルコホールディングス,4671,サービス業,0.0023%,TOPIX Small 2
20250829,クレスコ,4674,情報・通信業,0.0062%,TOPIX Small 2
20250829,フジ・メディア・ホールディングス,4676,情報・通信業,0.0731%,TOPIX Mid400
20250829,ラウンドワン,4680,サービス業,0.0337%,TOPIX Small 1
20250829,リゾートトラスト,4681,サービス業,0.0351%,TOPIX Mid400
20250829,オービック,4684,情報・通信業,0.2234%,TOPIX Mid400
20250829,ジャストシステム,4686,情報・通信業,0.0153%,TOPIX Small 1
20250829,ＴＤＣソフト,4687,情報・通信業,0.0053%,TOPIX Small 2
20250829,ＬＩＮＥヤフー,4689,情報・通信業,0.1675%,TOPIX Large70
20250829,ビー・エム・エル,4694,サービス業,0.0103%,TOPIX Small 1
20250829,トレンドマイクロ,4704,情報・通信業,0.1043%,TOPIX Mid400
20250829,ＩＤホールディングス,4709,情報・通信業,0.0034%,TOPIX Small 2
20250829,リソー教育,4714,サービス業,0.0032%,TOPIX Small 2
20250829,日本オラクル,4716,情報・通信業,0.0672%,TOPIX Mid400
20250829,早稲田アカデミー,4718,サービス業,0.0036%,TOPIX Small 2
20250829,アルファシステムズ,4719,情報・通信業,0.0027%,TOPIX Small 2
20250829,フューチャー,4722,情報・通信業,0.0112%,TOPIX Small 1
20250829,ＣＡＣ　Ｈｏｌｄｉｎｇｓ,4725,情報・通信業,0.0030%,TOPIX Small 2
20250829,ユー・エス・エス,4732,サービス業,0.0798%,TOPIX Mid400
20250829,オービックビジネスコンサルタント,4733,情報・通信業,0.0332%,TOPIX Mid400
20250829,アイティフォー,4743,情報・通信業,0.0038%,TOPIX Small 2
20250829,東京個別指導学院,4745,サービス業,0.0010%,TOPIX Small 2
20250829,東計電算,4746,情報・通信業,0.0025%,TOPIX Small 2
20250829,サイバーエージェント,4751,サービス業,0.0857%,TOPIX Mid400
20250829,楽天グループ,4755,サービス業,0.1702%,TOPIX Mid400
20250829,クリーク・アンド・リバー社,4763,サービス業,0.0017%,TOPIX Small 2
20250829,ＳＢＩグローバルアセットマネジメント,4765,サービス業,0.0030%,TOPIX Small 2
20250829,テー・オー・ダブリュー,4767,サービス業,0.0016%,TOPIX Small 2
20250829,大塚商会,4768,情報・通信業,0.0790%,TOPIX Mid400
20250829,サイボウズ,4776,情報・通信業,0.0121%,TOPIX Small 1
20250829,ＧＭＯインターネット,4784,サービス業,0.0008%,TOPIX Small 2
20250829,山田コンサルティンググループ,4792,サービス業,0.0022%,TOPIX Small 2
20250829,セントラルスポーツ,4801,サービス業,0.0023%,TOPIX Small 2
20250829,パラカ,4809,不動産業,0.0013%,TOPIX Small 2
20250829,電通総研,4812,情報・通信業,0.0185%,TOPIX Small 1
20250829,ＡＣＣＥＳＳ,4813,情報・通信業,0.0015%,TOPIX Small 2
20250829,デジタルガレージ,4819,情報・通信業,0.0135%,TOPIX Small 1
20250829,イーエムシステムズ,4820,情報・通信業,0.0023%,TOPIX Small 2
20250829,ウェザーニューズ,4825,情報・通信業,0.0083%,TOPIX Small 1
20250829,ＣＩＪ,4826,情報・通信業,0.0031%,TOPIX Small 2
20250829,ビジネスエンジニアリング,4828,情報・通信業,0.0033%,TOPIX Small 2
20250829,ＷＯＷＯＷ,4839,情報・通信業,0.0030%,TOPIX Small 2
20250829,スカラ,4845,情報・通信業,0.0009%,TOPIX Small 2
20250829,フルキャストホールディングス,4848,サービス業,0.0032%,TOPIX Small 2
20250829,エン・ジャパン,4849,サービス業,0.0068%,TOPIX Small 1
20250829,セルソース,4880,医薬品,0.0008%,TOPIX Small 2
20250829,あすか製薬ホールディングス,4886,医薬品,0.0048%,TOPIX Small 2
20250829,サワイグループホールディングス,4887,医薬品,0.0223%,TOPIX Mid400
20250829,富士フイルムホールディングス,4901,化学,0.4867%,TOPIX Large70
